año,corporacion,lugar,votacion,localidad,longitud,latitud,geometry,upz
2007,CONCEJO,PUESTO CENSO(FERIA EXPOSICION),1904,NACIONAL,-74.08994026099998,4.630369649000045,POINT (-74.08994026099998 4.630369649000045),QUINTA PAREDES
2007,CONCEJO,ALTOS DE SAN ISIDRO,19,USAQUEN,-74.0244897,4.6696769,POINT (-74.0244897 4.6696769),SAN ISIDRO - PATIOS
2007,CONCEJO,BARRANCAS,143,USAQUEN,-74.0269239,4.7352201,POINT (-74.0269239 4.7352201),SAN CRISTOBAL NORTE
2007,CONCEJO,BUENAVISTA,7,USAQUEN,-74.02579167099998,4.766856689000065,POINT (-74.02579167099998 4.766856689000065),VERBENAL
2007,CONCEJO,CANAIMA,14,USAQUEN,-74.04098847999995,4.772747019000064,POINT (-74.04098847999995 4.772747019000064),PASEO DE LOS LIBERTADORES
2007,CONCEJO,LOS CEDRITOS,469,USAQUEN,-74.0455034,4.7242924,POINT (-74.0455034 4.7242924),LOS CEDROS
2007,CONCEJO,CEDRITOS II SECTOR,954,USAQUEN,-74.03989464361008,4.725161840959483,POINT (-74.03989464361008 4.725161840959483),LOS CEDROS
2007,CONCEJO,ALQUERIA,74,PUENTE ARANDA,-74.1345257,4.5943297,POINT (-74.1345257 4.5943297),MUZU
2007,CONCEJO,CONTADOR,984,USAQUEN,-74.0480373,4.7116123,POINT (-74.0480373 4.7116123),COUNTRY CLUB
2007,CONCEJO,EL VERBENAL II SECTOR,89,USAQUEN,-74.0375706,4.7641288,POINT (-74.0375706 4.7641288),VERBENAL
2007,CONCEJO,LA CITA,216,USAQUEN,-74.0227166,4.7449208,POINT (-74.0227166 4.7449208),LA URIBE
2007,CONCEJO,LA URIBE,135,USAQUEN,-74.0450134,4.7523999,POINT (-74.0450134 4.7523999),LA URIBE
2007,CONCEJO,LAS MARGARITAS,1232,USAQUEN,-74.0470339940858,4.73247890295971,POINT (-74.0470339940858 4.73247890295971),LOS CEDROS
2007,CONCEJO,LAS ORQUIDEAS,137,USAQUEN,-74.04022487333644,4.742062972948161,POINT (-74.04022487333644 4.742062972948161),TOBERIN
2007,CONCEJO,LIJACA,39,USAQUEN,-74.02799443399994,4.765537425000048,POINT (-74.02799443399994 4.765537425000048),VERBENAL
2007,CONCEJO,SALÓN COMUNAL SAN ANTONIO,47,USAQUEN,-74.0321796349869,4.76460865457396,POINT (-74.0321796349869 4.76460865457396),VERBENAL
2007,CONCEJO,SANTA ANA ORIENTAL,697,USAQUEN,-74.0320003446318,4.686688896535118,POINT (-74.0320003446318 4.686688896535118),USAQUEN
2007,CONCEJO,SANTA BARBARA OCCIDENTAL,546,USAQUEN,-74.0494267,4.7008515,POINT (-74.0494267 4.7008515),SANTA BARBARA
2007,CONCEJO,SANTA BARBARA ORIENTAL,402,USAQUEN,-74.030432,4.6981675,POINT (-74.030432 4.6981675),USAQUEN
2007,CONCEJO,SANTA PAULA,332,USAQUEN,-74.04258361999996,4.690482880000047,POINT (-74.04258361999996 4.690482880000047),SANTA BARBARA
2007,CONCEJO,CENTRO COMERCIAL UNICENTRO,2642,USAQUEN,-74.04262499899994,4.702378772000031,POINT (-74.04262499899994 4.702378772000031),SANTA BARBARA
2007,CONCEJO,USAQUÉN,683,USAQUEN,-74.03094040199994,4.695968200000038,POINT (-74.03094040199994 4.695968200000038),USAQUEN
2007,CONCEJO,AVENIDA CHILE,318,CHAPINERO,-74.059637,4.6576875,POINT (-74.059637 4.6576875),CHICO LAGO
2007,CONCEJO,BOSQUE CALDERON,112,CHAPINERO,-74.0605512,4.6410711,POINT (-74.0605512 4.6410711),PARDO RUBIO
2007,CONCEJO,CHAPINERO NORTE,693,CHAPINERO,-74.0629969,4.6530765,POINT (-74.0629969 4.6530765),CHAPINERO
